token	corpus size	all contexts size	frequency	co-frequency	specificity
niektórzy	9725	9625	2	2	0.01
więcej	9725	9625	2	2	0.01
Ale	9725	9625	2	2	0.01
dopiero	9725	9625	2	2	0.01
konieczne	9725	9625	2	2	0.01
czynów	9725	9625	2	2	0.01
wolnej	9725	9625	2	2	0.01
dobrowolnym	9725	9625	2	2	0.01
przestąpieniem	9725	9625	2	2	0.01
przewrotność	9725	9625	2	2	0.01
występuje	9725	9625	2	2	0.01
rozumowi	9725	9625	2	2	0.01
powód	9725	9625	2	2	0.01
swojej	9725	9625	2	2	0.01
buntem	9725	9625	2	2	0.01
Jego	9725	9625	2	2	0.01
jądro	9725	9625	2	2	0.01
posiada	9725	9625	2	2	0.01
zawiera	9725	9625	2	2	0.01
głupota	9725	9625	2	2	0.01
charakteru	9725	9625	2	2	0.01
moralność	9725	9625	2	2	0.01
Potter	9725	9625	2	2	0.01
czytanie	9725	9625	2	2	0.01
serii	9725	9625	2	2	0.01
książek	9725	9625	2	2	0.01
przykazaniu	9725	9625	2	2	0.01
piwo	9725	9625	2	2	0.01
bezalkoholowe	9725	9625	2	2	0.01
wywoływanie	9725	9625	2	2	0.01
podniecenia	9725	9625	2	2	0.01
komentarzami	9725	9625	2	2	0.01
czytać	9725	9625	2	2	0.01
zabójstwa	9725	9625	2	2	0.01
zadawać	9725	9625	2	2	0.01
patrzeć	9725	9625	2	2	0.01
przepaść	9725	9625	2	2	0.01
swych	9725	9625	2	2	0.01
Pojmowała	9725	9625	2	2	0.01
ohydę	9725	9625	2	2	0.01
książka	9725	9625	2	2	0.01
wręcz	9725	9625	2	2	0.01
15	9725	9625	2	2	0.01
lat	9725	9625	2	2	0.01
znaczy	9725	9625	2	2	0.01
No	9725	9625	2	2	0.01
kategoriach	9725	9625	2	2	0.01
odpuszczenie	9725	9625	2	2	0.01
drogi	9725	9625	2	2	0.01
Ciekawość	9725	9625	2	2	0.01
was	9725	9625	2	2	0.01
niech	9725	9625	2	2	0.01
nią	9725	9625	2	2	0.01
siebie	9725	9625	2	2	0.01
Wojciech	9725	9625	2	2	0.01
zrozumienie	9725	9625	2	2	0.01
rozróżnia	9725	9625	2	2	0.01
Bożego	9725	9625	2	2	0.01
czytamy	9725	9625	2	2	0.01
1J	9725	9625	2	2	0.01
5,16-17	9725	9625	2	2	0.01
podstawy	9725	9625	2	2	0.01
